,date,open,high,low,close,volume,open_volume,fast_lag,slow_lag,atr,last_high1,last_high2,last_low1,last_low2
0,20000601,1471.75,1474.0,1465.25,1465.75,22139,71094,1465.75,1465.75,8.75,,,,
1,20000602,1465.75,1467.25,1462.5,1466.5,20821,68779,1465.7794117647059,1465.7648514851485,8.67079207920792,,,,
2,20000605,1467.5,1469.25,1459.25,1461.25,24788,67361,1465.601787773933,1465.6754484854425,8.697113028134497,1466.5,1466.5,1465.75,1465.75
3,20000606,1461.25,1463.25,1458.25,1462.25,16747,66650,1465.4703451161317,1465.6076178223645,8.623902869161537,1466.5,1466.5,1461.25,1461.25
4,20000607,1462.75,1463.75,1455.25,1459.5,23227,65375,1465.236213935107,1465.486674895189,8.621449346999922,1466.5,1466.5,1461.25,1461.25
5,20000608,1459.75,1463.25,1458.75,1461.75,14206,63131,1465.0994996631418,1465.412681332908,8.539836488643488,1466.5,1466.5,1459.5,1459.5
6,20000609,1461.75,1467.0,1460.75,1465.0,23714,59522,1465.0955977155677,1465.4045094253256,8.494493191838666,1466.5,1466.5,1459.5,1459.5
7,20000612,1463.75,1463.75,1459.75,1461.0,17280,56729,1464.9349860404475,1465.3172914169033,8.430245801901266,1466.5,1466.5,1459.5,1459.5
8,20000613,1461.25,1463.5,1459.5,1460.0,16950,53475,1464.7414571761162,1465.2119985175586,8.342518162259656,1466.5,1466.5,1459.5,1459.5
9,20000614,1458.75,1460.0,1455.75,1456.5,18736,52692,1464.4182627770529,1465.0394836954288,8.261478198650554,1466.5,1466.5,1459.5,1459.5
10,20000615,1456.25,1460.0,1455.25,1458.0,15903,50071,1464.1665661975605,1464.9000879786877,8.191943976895098,1466.5,1466.5,1456.5,1456.5
11,20000616,1457.75,1460.75,1457.75,1458.25,11340,47434,1463.9345439937347,1464.7684030682185,8.089133205075393,1466.5,1466.5,1456.5,1456.5
12,20000619,1458.75,1464.75,1456.75,1464.0,12977,45299,1463.9371108959413,1464.7531871658775,8.087368191113505,1466.5,1466.5,1456.5,1456.5
13,20000620,1462.75,1471.25,1461.75,1469.0,26265,42397,1464.1356555666887,1464.8372824695234,8.115341098220169,1466.5,1466.5,1456.5,1456.5
14,20000621,1469.25,1475.0,1468.25,1472.25,19652,40645,1464.4538651523087,1464.9840689552755,8.088304640829671,1469.0,1469.0,1456.5,1456.5
15,20000622,1471.75,1473.0,1470.5,1472.75,8629,46835,1464.7792037737868,1465.1378497680423,7.977645142991459,1472.25,1472.25,1456.5,1456.5
16,20000623,1471.75,1473.0,1467.0,1467.5,8606,47182,1464.8859016650108,1465.1846250201602,7.938483853031233,1472.75,1472.75,1456.5,1456.5
17,20000626,1467.5,1472.25,1466.5,1469.5,12252,49214,1465.0668466977554,1465.270077990058,7.895147539109822,1472.75,1472.75,1456.5,1456.5
18,20000627,1470.5,1472.5,1468.0,1468.25,11459,51546,1465.19167623902,1465.3290863466907,7.827916894771014,1472.75,1472.75,1456.5,1456.5
19,20000628,1468.25,1470.0,1465.0,1467.25,13295,54709,1465.2723948178818,1465.3671242408157,7.7719185404191125,1472.75,1472.75,1456.5,1456.5
20,20000629,1467.0,1470.5,1466.5,1467.75,18330,58636,1465.369555805416,1465.4143098994134,7.697227084173189,1472.75,1472.75,1456.5,1456.5
21,20000630,1467.75,1468.0,1453.5,1454.25,22855,59398,1464.933494793439,1465.1932344558606,7.831935458744017,1472.75,1472.75,1456.5,1456.5
22,20000703,1454.75,1455.0,1437.0,1440.5,27531,58033,1463.9753185270297,1464.7042595161406,8.033283271442155,1472.75,1472.75,1454.25,1454.25
23,20000705,1441.0,1444.5,1441.0,1441.75,11256,58060,1463.1037374083226,1464.2497197237417,7.953416275968053,1472.75,1472.75,1440.5,1440.5
24,20000706,1442.25,1443.0,1437.0,1438.0,11226,60801,1462.1192771178,1463.7299232935686,7.9147347655528435,1472.75,1472.75,1440.5,1440.5
25,20000707,1438.0,1441.5,1437.5,1437.75,9283,61085,1461.1636191916118,1463.2154693669634,7.837215265244867,1472.75,1472.75,1438.0,1438.0
26,20000710,1437.0,1440.75,1433.0,1440.0,8860,61820,1460.3336733409603,1462.755757102271,7.835488230289522,1472.75,1472.75,1437.75,1437.75
27,20000711,1441.0,1441.5,1439.0,1439.25,6871,61804,1459.506862621707,1462.2902965655924,7.729834998006561,1472.75,1472.75,1437.75,1437.75
28,20000712,1439.0,1439.25,1429.0,1435.5,13744,63401,1458.5654170286987,1461.7597956435013,7.779739255471778,1472.75,1472.75,1437.75,1437.75
29,20000713,1435.75,1438.25,1435.0,1437.5,7897,63988,1457.7393222432595,1461.2794036505607,7.690041448432733,1472.75,1472.75,1435.5,1435.5
30,20000714,1437.0,1439.0,1430.5,1431.75,7062,63733,1456.7201331356807,1460.694662984213,7.706080231632084,1472.75,1472.75,1435.5,1435.5
31,20000717,1431.0,1431.0,1426.75,1427.25,7233,63430,1455.5644416401637,1460.03239243007,7.6524944844710525,1472.75,1472.75,1431.75,1431.75
32,20000718,1427.25,1430.5,1424.0,1424.25,6523,63167,1454.3364243209417,1459.323830203732,7.62967281151123,1472.75,1472.75,1427.25,1427.25
33,20000719,1424.25,1429.0,1422.0,1427.5,7136,63067,1453.284015524042,1458.6936553482126,7.617204042966454,1472.75,1472.75,1424.25,1424.25
34,20000720,1427.0,1430.5,1427.0,1429.75,3792,62664,1452.3611129544718,1458.1205136581489,7.535675250036425,1472.75,1472.75,1424.25,1424.25
